group,lr,setting,wer,ins_rate,del_rate,sub_rate,words,repeat,dataset,split,epochs,path,error
layer_drop_lr_sweep,9em5,drop-none,0.0581959950381003,0.007903597377281588,0.016799574694311536,0.03349282296650718,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-none_1.pkl,
layer_drop_lr_sweep,9em5,drop-subsampling,0.05851497430444799,0.00836434520645047,0.016586921850079744,0.033563707247917775,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-subsampling_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-5,0.05894027999291157,0.008506113769271665,0.016516037568669147,0.03391812865497076,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-layer-5_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-1,0.05901116427432217,0.008541555909976963,0.016799574694311536,0.03367003367003367,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-layer-1_1.pkl,
progressive_top,9em5,freeze-subsampling-through-layer-1,0.059046606415027465,0.008506113769271665,0.01690590111642743,0.03363459152932837,28215,1/1,tedlium,test,1,progressive_top/tedlium-test-epoch-1-lr-9em5-freeze-subsampling-through-layer-1_1.pkl,
progressive_bottom_ctc_decoder,9em5,train-subsampling-through-layer-4,0.059188374977848665,0.008683324472798157,0.016374269005847954,0.03413078149920255,28215,1/1,tedlium,test,1,progressive_bottom_ctc_decoder/tedlium-test-epoch-1-lr-9em5-train-subsampling-through-layer-4_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-0,0.05925925925925926,0.008222576643629275,0.01690590111642743,0.03413078149920255,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-layer-0_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-3,0.05929470139996456,0.008293460925039872,0.016693248272195642,0.034307992202729044,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-layer-3_1.pkl,
progressive_top,9em5,train-all,0.05929470139996456,0.008683324472798157,0.01648059542796385,0.03413078149920255,28215,1/1,tedlium,test,1,progressive_top/tedlium-test-epoch-1-lr-9em5-train-all_1.pkl,
train_only,9em5,train-all,0.05929470139996456,0.00886053517632465,0.01616161616161616,0.034272550062023746,28215,1/1,tedlium,test,1,train_only/tedlium-test-epoch-1-lr-9em5-train-all_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-4,0.059365585681375156,0.00836434520645047,0.01697678539783803,0.03402445507708666,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-layer-4_1.pkl,
layer_drop_lr_sweep,9em5,drop-ctc-decoder,0.059401027822080454,0.007903597377281588,0.017543859649122806,0.03395357079567606,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-ctc-decoder_1.pkl,
progressive_bottom_ctc_decoder,9em5,train-subsampling-through-layer-5,0.05943646996278575,0.008470671628566365,0.016551479709374445,0.03441431862484494,28215,1/1,tedlium,test,1,progressive_bottom_ctc_decoder/tedlium-test-epoch-1-lr-9em5-train-subsampling-through-layer-5_1.pkl,
progressive_top,9em5,freeze-subsampling,0.05943646996278575,0.008683324472798157,0.01676413255360624,0.03398901293638136,28215,1/1,tedlium,test,1,progressive_top/tedlium-test-epoch-1-lr-9em5-freeze-subsampling_1.pkl,
layer_drop_lr_sweep,9em5,drop-layer-2,0.05947191210349105,0.008754208754208754,0.016799574694311536,0.03391812865497076,28215,1/1,tedlium,test,1,layer_drop_lr_sweep/tedlium-test-epoch-1-lr-9em5-drop-layer-2_1.pkl,
