dataset,split,source_seq_len,seq_len,overlap,mode,epochs,n,wer_mean,wer_delta_vs_seq16384_abs,wer_delta_vs_seq16384_rel_pct,ins_rate_mean,del_rate_mean,sub_rate_mean,words,paths,source_summary
chime6,test,2048,2048,1792,no_adapt,0,1,0.8526788861,-0.0125484667,-1.4503,0.0013041946,0.8262248854,0.0251498061,56740,chime6-test-ctc-seq2048-overlap1792-no_adapt_1.pkl,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq2048_unadapted_baseline/summary.csv
chime6,test,16384,16384,14336,no_adapt,0,1,0.8652273528,0.0000000000,0.0000,0.0010398308,0.8383327459,0.0258547762,56740,chime6-test-ctc-seq16384-overlap14336-no_adapt_1.pkl,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq16384_unadapted_baseline/summary.csv
chime6,test,65536,65536,57344,no_adapt,0,1,0.8675537540,0.0023264012,0.2689,0.0010045823,0.8450828340,0.0214663377,56740,chime6-test-ctc-seq65536-overlap57344-no_adapt_1.pkl,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/seq_65536_investigation/unadapted_baseline/summary.csv
earnings22,test,2048,2048,1792,no_adapt,0,1,0.1954332864,0.0125400813,6.8565,0.0255294814,0.0508751506,0.1190286543,48963,earnings22-test-ctc-seq2048-overlap1792-no_adapt_1.pkl,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq2048_unadapted_baseline/summary.csv
earnings22,test,16384,16384,14336,no_adapt,0,1,0.1828932051,0.0000000000,0.0000,0.0233645814,0.0501399016,0.1093887221,48963,earnings22-test-ctc-seq16384-overlap14336-no_adapt_1.pkl,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq16384_unadapted_baseline/summary.csv
earnings22,test,65536,65536,57344,no_adapt,0,1,0.1831995589,0.0003063538,0.1675,0.0219349305,0.0516512469,0.1096133815,48963,earnings22-test-ctc-seq65536-overlap57344-no_adapt_1.pkl,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/seq_65536_investigation/unadapted_baseline/summary.csv
rev16,test,2048,2048,1792,no_adapt,0,1,0.1526964301,0.0005463839,0.3591,0.0179898179,0.0686605424,0.0660460699,195833,rev16-test-ctc-seq2048-overlap1792-no_adapt_1.pkl,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq2048_unadapted_baseline/summary.csv
rev16,test,16384,16384,14336,no_adapt,0,1,0.1521500462,0.0000000000,0.0000,0.0174842851,0.0704784178,0.0641873433,195833,rev16-test-ctc-seq16384-overlap14336-no_adapt_1.pkl,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq16384_unadapted_baseline/summary.csv
rev16,test,65536,65536,57344,no_adapt,0,1,0.1521449398,-0.0000051064,-0.0034,0.0170349226,0.0713209725,0.0637890447,195833,rev16-test-ctc-seq65536-overlap57344-no_adapt_1.pkl,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/seq_65536_investigation/unadapted_baseline/summary.csv
tedlium,test,2048,2048,1792,no_adapt,0,1,0.0654261917,0.0031543505,5.0655,0.0080808081,0.0200248095,0.0373205742,28215,tedlium-test-ctc-seq2048-overlap1792-no_adapt_1.pkl,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq2048_unadapted_baseline/summary.csv
tedlium,test,16384,16384,14336,no_adapt,0,1,0.0622718412,0.0000000000,0.0000,0.0073719653,0.0198121567,0.0350877193,28215,tedlium-test-ctc-seq16384-overlap14336-no_adapt_1.pkl,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq16384_unadapted_baseline/summary.csv
tedlium,test,65536,65536,57344,no_adapt,0,1,0.0616693248,-0.0006025164,-0.9676,0.0070529860,0.0204501152,0.0341662236,28215,tedlium-test-ctc-seq65536-overlap57344-no_adapt_1.pkl,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/seq_65536_investigation/unadapted_baseline/summary.csv
