dataset,split,checkpoint_repeat,seq_len,overlap,mode,epochs,n,wer_mean,wer_delta_vs_rp1_abs,wer_delta_vs_rp1_rel_pct,ins_rate_mean,del_rate_mean,sub_rate_mean,words,paths,checkpoint,source_summary
chime6,test,rp_1,16384,14336,no_adapt,0,1,0.8652273528,0.0000000000,0.0000,0.0010398308,0.8383327459,0.0258547762,56740,chime6-test-ctc-seq16384-overlap14336-no_adapt_1.pkl,/store/store5/data/acp21rjf_checkpoints/SAP_LCASR/n_seq_sched_16384_rp_1/step_105360.pt,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq16384_unadapted_baseline/summary.csv
chime6,test,rp_2,16384,14336,no_adapt,0,1,0.8379626366,-0.0272647162,-3.1512,0.0013746916,0.8039125837,0.0326753613,56740,chime6-test-ctc-seq16384-overlap14336-no_adapt_1.pkl,/store/store5/data/acp21rjf_checkpoints/SAP_LCASR/n_seq_sched_16384_rp_2/step_105360.pt,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq16384_unadapted_baseline_repeats/rp_2/summary.csv
chime6,test,rp_3,16384,14336,no_adapt,0,1,0.8513570673,-0.0138702855,-1.6031,0.0011455763,0.8233168840,0.0268946070,56740,chime6-test-ctc-seq16384-overlap14336-no_adapt_1.pkl,/store/store5/data/acp21rjf_checkpoints/SAP_LCASR/n_seq_sched_16384_rp_3/step_105360.pt,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq16384_unadapted_baseline_repeats/rp_3/summary.csv
earnings22,test,rp_1,16384,14336,no_adapt,0,1,0.1828932051,0.0000000000,0.0000,0.0233645814,0.0501399016,0.1093887221,48963,earnings22-test-ctc-seq16384-overlap14336-no_adapt_1.pkl,/store/store5/data/acp21rjf_checkpoints/SAP_LCASR/n_seq_sched_16384_rp_1/step_105360.pt,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq16384_unadapted_baseline/summary.csv
earnings22,test,rp_2,16384,14336,no_adapt,0,1,0.1869370749,0.0040438698,2.2111,0.0226906031,0.0532647101,0.1109817617,48963,earnings22-test-ctc-seq16384-overlap14336-no_adapt_1.pkl,/store/store5/data/acp21rjf_checkpoints/SAP_LCASR/n_seq_sched_16384_rp_2/step_105360.pt,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq16384_unadapted_baseline_repeats/rp_2/summary.csv
earnings22,test,rp_3,16384,14336,no_adapt,0,1,0.1835059126,0.0006127075,0.3350,0.0206278210,0.0524477667,0.1104303249,48963,earnings22-test-ctc-seq16384-overlap14336-no_adapt_1.pkl,/store/store5/data/acp21rjf_checkpoints/SAP_LCASR/n_seq_sched_16384_rp_3/step_105360.pt,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq16384_unadapted_baseline_repeats/rp_3/summary.csv
rev16,test,rp_1,16384,14336,no_adapt,0,1,0.1521500462,0.0000000000,0.0000,0.0174842851,0.0704784178,0.0641873433,195833,rev16-test-ctc-seq16384-overlap14336-no_adapt_1.pkl,/store/store5/data/acp21rjf_checkpoints/SAP_LCASR/n_seq_sched_16384_rp_1/step_105360.pt,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq16384_unadapted_baseline/summary.csv
rev16,test,rp_2,16384,14336,no_adapt,0,1,0.1518640883,-0.0002859579,-0.1879,0.0169889651,0.0708052269,0.0640698963,195833,rev16-test-ctc-seq16384-overlap14336-no_adapt_1.pkl,/store/store5/data/acp21rjf_checkpoints/SAP_LCASR/n_seq_sched_16384_rp_2/step_105360.pt,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq16384_unadapted_baseline_repeats/rp_2/summary.csv
rev16,test,rp_3,16384,14336,no_adapt,0,1,0.1526096215,0.0004595753,0.3021,0.0167642839,0.0716528879,0.0641924497,195833,rev16-test-ctc-seq16384-overlap14336-no_adapt_1.pkl,/store/store5/data/acp21rjf_checkpoints/SAP_LCASR/n_seq_sched_16384_rp_3/step_105360.pt,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq16384_unadapted_baseline_repeats/rp_3/summary.csv
tedlium,test,rp_1,16384,14336,no_adapt,0,1,0.0622718412,0.0000000000,0.0000,0.0073719653,0.0198121567,0.0350877193,28215,tedlium-test-ctc-seq16384-overlap14336-no_adapt_1.pkl,/store/store5/data/acp21rjf_checkpoints/SAP_LCASR/n_seq_sched_16384_rp_1/step_105360.pt,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-110/lcasr/results/ctc_seq16384_unadapted_baseline/summary.csv
