dataset,split,seq_len,overlap,stride,mode,epochs,n,wer_mean,ins_rate_mean,del_rate_mean,sub_rate_mean,words,source_summary
chime6,test,2048,1792,256,no_adapt,0,1,0.8526788861,0.0013041946,0.8262248854,0.0251498061,56740,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-112/lcasr/results/ctc_seq2048_unadapted_baseline/summary.csv
chime6,test,8192,7168,1024,no_adapt,0,1,0.8433732816,0.0012336976,0.8120021149,0.0301374692,56740,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-112/lcasr/results/ctc_seq8192_unadapted_baseline/summary.csv
chime6,test,65536,57344,8192,no_adapt,0,1,0.8675537540,0.0010045823,0.8450828340,0.0214663377,56740,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-112/lcasr/results/seq_65536_investigation/unadapted_baseline/summary.csv
earnings22,test,2048,1792,256,no_adapt,0,1,0.1954332864,0.0255294814,0.0508751506,0.1190286543,48963,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-112/lcasr/results/ctc_seq2048_unadapted_baseline/summary.csv
earnings22,test,8192,7168,1024,no_adapt,0,1,0.1867941098,0.0232420399,0.0522639544,0.1112881155,48963,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-112/lcasr/results/ctc_seq8192_unadapted_baseline/summary.csv
earnings22,test,65536,57344,8192,no_adapt,0,1,0.1831995589,0.0219349305,0.0516512469,0.1096133815,48963,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-112/lcasr/results/seq_65536_investigation/unadapted_baseline/summary.csv
rev16,test,2048,1792,256,no_adapt,0,1,0.1526964301,0.0179898179,0.0686605424,0.0660460699,195833,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-112/lcasr/results/ctc_seq2048_unadapted_baseline/summary.csv
rev16,test,8192,7168,1024,no_adapt,0,1,0.1516649390,0.0172493911,0.0696818207,0.0647337272,195833,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-112/lcasr/results/ctc_seq8192_unadapted_baseline/summary.csv
rev16,test,65536,57344,8192,no_adapt,0,1,0.1521449398,0.0170349226,0.0713209725,0.0637890447,195833,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-112/lcasr/results/seq_65536_investigation/unadapted_baseline/summary.csv
tedlium,test,2048,1792,256,no_adapt,0,1,0.0654261917,0.0080808081,0.0200248095,0.0373205742,28215,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-112/lcasr/results/ctc_seq2048_unadapted_baseline/summary.csv
tedlium,test,8192,7168,1024,no_adapt,0,1,0.0630515683,0.0074428495,0.0209463052,0.0346624136,28215,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-112/lcasr/results/ctc_seq8192_unadapted_baseline/summary.csv
tedlium,test,65536,57344,8192,no_adapt,0,1,0.0616693248,0.0070529860,0.0204501152,0.0341662236,28215,/exp/exp4/acp21rjf/symphony-workspaces-dynamic-asr-eval/ROB-112/lcasr/results/seq_65536_investigation/unadapted_baseline/summary.csv
