agreement,aug,base_mode,dataset,decode,del_rate,delta_vs_baseline,epoch,ins_rate,kl_temp,lr,mode,n_repeats,repeat_ids,setting,spec_aug,split,sub_rate,vote_min_count,vote_num_samples,vote_similarity,vote_temperature,wer,wer_std,words
,no_aug,no_adapt,tedlium,beam5_lp0p5,0.034431303194429094,0.0,0,0.015253675251464574,,none,no_adapt-beam5_lp0p5,1,['1/1'],tedlium-dev-no_adapt-beam5_lp0p5-epoch-0-lr-none-no_aug,,dev,0.06234110754946391,,,,,0.11202608599535757,0.0,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim0p9,teacher_ce,tedlium,beam5_lp0p5,0.035315574223499506,-0.0004974024538521027,1,0.015087874433513872,,1em7,teacher_ce-beam5_lp0p5,1,['1/1'],tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min3_sim0p9,freq3_width24_time0,dev,0.0611252348844921,3,8,0p9,0p7,0.11152868354150547,0.0,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim1p0,teacher_ce,tedlium,beam5_lp0p5,0.034818171769647396,0.0,1,0.015032607494196971,,1em7,teacher_ce-beam5_lp0p5,1,['1/1'],tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min3_sim1p0,freq3_width24_time0,dev,0.06217530673151321,3,8,1p0,0p7,0.11202608599535757,0.0,18094.0
,freq3_width24_time0-voteN8_t1p0_min3_sim0p9,teacher_ce,tedlium,beam5_lp0p5,0.034431303194429094,-0.0001105338786338006,1,0.015198408312147674,,1em7,teacher_ce-beam5_lp0p5,1,['1/1'],tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t1p0_min3_sim0p9,freq3_width24_time0,dev,0.06228584061014701,3,8,0p9,1p0,0.11191555211672377,0.0,18094.0
,freq3_width24_time0-voteN8_t1p0_min3_sim1p0,teacher_ce,tedlium,beam5_lp0p5,0.034431303194429094,-0.0001105338786338006,1,0.015198408312147674,,1em7,teacher_ce-beam5_lp0p5,1,['1/1'],tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t1p0_min3_sim1p0,freq3_width24_time0,dev,0.06228584061014701,3,8,1p0,1p0,0.11191555211672377,0.0,18094.0
,no_aug-voteN8_t0p7_min3_sim0p9,teacher_ce,tedlium,beam5_lp0p5,0.03636564607052061,0.018846026307063113,1,0.024649054935337682,,1em7,teacher_ce-beam5_lp0p5,1,['1/1'],tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-no_aug-voteN8_t0p7_min3_sim0p9,no_aug,dev,0.0698574112965624,3,8,0p9,0p7,0.13087211230242068,0.0,18094.0
,no_aug-voteN8_t0p7_min3_sim1p0,teacher_ce,tedlium,beam5_lp0p5,0.034541837073062895,0.0,1,0.015253675251464574,,1em7,teacher_ce-beam5_lp0p5,1,['1/1'],tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-no_aug-voteN8_t0p7_min3_sim1p0,no_aug,dev,0.06223057367083011,3,8,1p0,0p7,0.11202608599535757,0.0,18094.0
,no_aug-voteN8_t1p0_min3_sim0p9,teacher_ce,tedlium,beam5_lp0p5,0.034431303194429094,-0.0001105338786338006,1,0.015198408312147674,,1em7,teacher_ce-beam5_lp0p5,1,['1/1'],tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-no_aug-voteN8_t1p0_min3_sim0p9,no_aug,dev,0.06228584061014701,3,8,0p9,1p0,0.11191555211672377,0.0,18094.0
,no_aug-voteN8_t1p0_min3_sim1p0,teacher_ce,tedlium,beam5_lp0p5,0.034431303194429094,-0.0001105338786338006,1,0.015198408312147674,,1em7,teacher_ce-beam5_lp0p5,1,['1/1'],tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-no_aug-voteN8_t1p0_min3_sim1p0,no_aug,dev,0.06228584061014701,3,8,1p0,1p0,0.11191555211672377,0.0,18094.0
,freq3_width24_time0-voteN8_t0p7_min3_sim0p9,teacher_ce,tedlium,beam5_lp0p5,0.03365756604399248,-0.0023212114513098264,1,0.015585276887365978,,3em7,teacher_ce-beam5_lp0p5,1,['1/1'],tedlium-dev-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0-voteN8_t0p7_min3_sim0p9,freq3_width24_time0,dev,0.06046203161268929,3,8,0p9,0p7,0.10970487454404775,0.0,18094.0
