agreement,aug,base_mode,dataset,decode,del_rate,delta_vs_baseline,epoch,ins_rate,kl_temp,lr,mode,n_repeats,repeat_ids,setting,spec_aug,split,sub_rate,teacher_max_mean_entropy,teacher_min_mean_max_prob,vote_min_count,vote_num_samples,vote_representative_strategy,vote_similarity,vote_temperature,wer,wer_std,words
,freq3_width24_time0-voteN16_t0p7_min2_sim0p95_repdeterministic,grpo,tedlium,beam5_lp0p5,0.038078921189344535,0.0030949486017464445,1,0.014701005858295568,,1em7,grpo-beam5_lp0p5,1,['1/1'],tedlium-dev-grpo-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN16_t0p7_min2_sim0p95_repdeterministic,freq3_width24_time0,dev,0.06234110754946391,,,2,16,deterministic,0p95,0p7,0.11512103459710402,0.0,18094.0
,freq3_width24_time0-voteN16_t0p7_min2_sim1p0_repdeterministic,grpo,tedlium,beam5_lp0p5,0.034486570133745995,-0.0002210677572676012,1,0.015143141372830772,,1em7,grpo-beam5_lp0p5,1,['1/1'],tedlium-dev-grpo-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN16_t0p7_min2_sim1p0_repdeterministic,freq3_width24_time0,dev,0.06217530673151321,,,2,16,deterministic,1p0,0p7,0.11180501823808997,0.0,18094.0
,freq3_width24_time0-voteN16_t1p0_min2_sim0p95_repdeterministic,grpo,tedlium,beam5_lp0p5,0.034376036255112194,-0.0002763346965845015,1,0.015253675251464574,,1em7,grpo-beam5_lp0p5,1,['1/1'],tedlium-dev-grpo-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN16_t1p0_min2_sim0p95_repdeterministic,freq3_width24_time0,dev,0.06212003979219631,,,2,16,deterministic,0p95,1p0,0.11174975129877307,0.0,18094.0
,freq3_width24_time0-voteN16_t1p0_min2_sim1p0_repdeterministic,grpo,tedlium,beam5_lp0p5,0.034597104012379795,0.0001105338786338006,1,0.015253675251464574,,1em7,grpo-beam5_lp0p5,1,['1/1'],tedlium-dev-grpo-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN16_t1p0_min2_sim1p0_repdeterministic,freq3_width24_time0,dev,0.06228584061014701,,,2,16,deterministic,1p0,1p0,0.11213661987399137,0.0,18094.0
,freq3_width24_time0-voteN8_t0p7_min2_sim0p95_repdeterministic,grpo,tedlium,beam5_lp0p5,0.033878633801260084,0.00033160163590141567,1,0.01569581076599978,,1em7,grpo-beam5_lp0p5,1,['1/1'],tedlium-dev-grpo-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min2_sim0p95_repdeterministic,freq3_width24_time0,dev,0.06278324306399911,,,2,8,deterministic,0p95,0p7,0.11235768763125899,0.0,18094.0
,freq3_width24_time0-voteN8_t0p7_min2_sim1p0_repdeterministic,grpo,tedlium,beam5_lp0p5,0.034707637891013596,0.00033160163590141567,1,0.015198408312147674,,1em7,grpo-beam5_lp0p5,1,['1/1'],tedlium-dev-grpo-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t0p7_min2_sim1p0_repdeterministic,freq3_width24_time0,dev,0.06245164142809771,,,2,8,deterministic,1p0,0p7,0.11235768763125899,0.0,18094.0
,freq3_width24_time0-voteN8_t1p0_min2_sim0p95_repdeterministic,grpo,tedlium,beam5_lp0p5,0.034652370951696695,0.0,1,0.015198408312147674,,1em7,grpo-beam5_lp0p5,1,['1/1'],tedlium-dev-grpo-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t1p0_min2_sim0p95_repdeterministic,freq3_width24_time0,dev,0.06217530673151321,,,2,8,deterministic,0p95,1p0,0.11202608599535757,0.0,18094.0
,freq3_width24_time0-voteN8_t1p0_min2_sim1p0_repdeterministic,grpo,tedlium,beam5_lp0p5,0.034597104012379795,5.52669393169003e-05,1,0.015253675251464574,,1em7,grpo-beam5_lp0p5,1,['1/1'],tedlium-dev-grpo-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN8_t1p0_min2_sim1p0_repdeterministic,freq3_width24_time0,dev,0.06223057367083011,,,2,8,deterministic,1p0,1p0,0.11208135293467447,0.0,18094.0
,freq3_width24_time0-voteN16_t0p7_min2_sim0p95_repdeterministic,maxrl,tedlium,beam5_lp0p5,0.034431303194429094,-0.0001105338786338006,1,0.015143141372830772,,1em7,maxrl-beam5_lp0p5,1,['1/1'],tedlium-dev-maxrl-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN16_t0p7_min2_sim0p95_repdeterministic,freq3_width24_time0,dev,0.06234110754946391,,,2,16,deterministic,0p95,0p7,0.11191555211672377,0.0,18094.0
,freq3_width24_time0-voteN16_t0p7_min2_sim1p0_repdeterministic,maxrl,tedlium,beam5_lp0p5,0.034431303194429094,0.0,1,0.015198408312147674,,1em7,maxrl-beam5_lp0p5,1,['1/1'],tedlium-dev-maxrl-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0-voteN16_t0p7_min2_sim1p0_repdeterministic,freq3_width24_time0,dev,0.06239637448878081,,,2,16,deterministic,1p0,0p7,0.11202608599535757,0.0,18094.0
