augmentation,checkpoint,checkpoint_path,dataset,decode,del_rate,delta_vs_normal_decode,delta_vs_old_seed,epoch,ins_rate,lr,n_repeats,normal_decode_wer,relative_delta_vs_normal_decode,relative_delta_vs_old_seed,repeat_ids,setting,split,sub_rate,training_mode,wer,wer_std,words
freq1_width12_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.16560603334042245,0.0,1,0.0,1em8,1,0.8343939666595775,0.19847462944082825,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq1_width12_time0,dev,0.0,teacher_ce,1.0,0.0,61127.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.16560603334042245,0.0,1,0.0,1em8,1,0.8343939666595775,0.19847462944082825,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq3_width24_time0,dev,0.0,teacher_ce,1.0,0.0,61127.0
freq9_width44_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.16560603334042245,0.0,1,0.0,1em8,1,0.8343939666595775,0.19847462944082825,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq9_width44_time0,dev,0.0,teacher_ce,1.0,0.0,61127.0
freq9_width44_time0_basic_repeat_filter,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.16560603334042245,0.0,1,0.0,1em8,1,0.8343939666595775,0.19847462944082825,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq9_width44_time0_basic_repeat_filter,dev,0.0,teacher_ce,1.0,0.0,61127.0
no_aug,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.16560603334042245,0.0,1,0.0,1em8,1,0.8343939666595775,0.19847462944082825,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-no_aug,dev,0.0,teacher_ce,1.0,0.0,61127.0
freq1_width12_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.16560603334042245,0.0,1,0.0,3em8,1,0.8343939666595775,0.19847462944082825,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq1_width12_time0,dev,0.0,teacher_ce,1.0,0.0,61127.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.16560603334042245,0.0,1,0.0,3em8,1,0.8343939666595775,0.19847462944082825,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq3_width24_time0,dev,0.0,teacher_ce,1.0,0.0,61127.0
freq9_width44_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,0.9933908092986733,0.15971665548775504,0.0,1,0.0,3em8,1,0.8343939666595775,0.19141635950121566,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq9_width44_time0,dev,0.0007198128486593485,teacher_ce,0.9941106221473326,0.0,61127.0
freq9_width44_time0_basic_repeat_filter,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,0.9944378098058141,0.16074729661197185,0.0,1,1.6359382924076105e-05,3em8,1,0.8343939666595775,0.19265155674064788,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq9_width44_time0_basic_repeat_filter,dev,0.0006870940828111963,teacher_ce,0.9951412632715494,0.0,61127.0
no_aug,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.16560603334042245,0.0,1,0.0,3em8,1,0.8343939666595775,0.19847462944082825,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-no_aug,dev,0.0,teacher_ce,1.0,0.0,61127.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.16560603334042245,0.0,1,0.0,3em9,1,0.8343939666595775,0.19847462944082825,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em9-freq3_width24_time0,dev,0.0,teacher_ce,1.0,0.0,61127.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.13523087768769826,0.0,1,0.0,1em7,1,0.8647691223123017,0.1563780137363197,0.0,['1/1'],chime6-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.0,teacher_ce,1.0,0.0,56740.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,earnings22,beam5_lp0p5,0.052917509139554356,-0.03365806833731594,0.0,1,0.03788575046463656,1em7,1,0.25172068704940465,-0.13371196754563897,0.0,['1/1'],earnings22-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.1272593591078978,teacher_ce,0.2180626187120887,0.0,48963.0
freq6_width34_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,earnings22,beam5_lp0p5,0.04881236852317056,-0.005677756673406448,0.0,1,0.053877417641892855,1em7,1,0.25172068704940465,-0.022555780933062874,0.0,['1/1'],earnings22-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq6_width34_time0,test,0.14335314421093479,teacher_ce,0.2460429303759982,0.0,48963.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,earnings22,beam5_lp0p5,0.04901660437473194,-0.03486305986152807,0.0,1,0.042481057124767685,3em7,1,0.25172068704940465,-0.13849898580121697,0.0,['1/1'],earnings22-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0,test,0.12535996568837693,teacher_ce,0.21685762718787657,0.0,48963.0
freq6_width34_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,earnings22,beam5_lp0p5,0.04934338173723015,-0.015419806792884405,0.0,1,0.04650450340052693,3em7,1,0.25172068704940465,-0.06125760649087214,0.0,['1/1'],earnings22-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq6_width34_time0,test,0.14045299511876314,teacher_ce,0.23630088025652024,0.0,48963.0
freq9_width44_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,earnings22,beam5_lp0p5,0.047607376998958395,-0.002430406633580462,0.0,1,0.04969058268488451,3em8,1,0.25172068704940465,-0.009655172413793116,0.0,['1/1'],earnings22-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq9_width44_time0,test,0.1519923207319813,teacher_ce,0.24929028041582418,0.0,48963.0
freq3_width24_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,earnings22,beam5_lp0p5,0.04977227702550906,-0.03451585891387374,0.0,1,0.0374772787615138,1em7,1,0.25172068704940465,-0.13711967545638945,0.0,['1/1'],earnings22-test-old_seed-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.12995527234850807,teacher_kl,0.2172048281355309,0.0,48963.0
