augmentation,checkpoint,checkpoint_path,dataset,decode,del_rate,delta_vs_normal_decode,delta_vs_old_seed,epoch,ins_rate,lr,n_repeats,normal_decode_wer,relative_delta_vs_normal_decode,relative_delta_vs_old_seed,repeat_ids,setting,split,sub_rate,training_mode,wer,wer_std,words
freq1_width12_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.16560603334042245,0.0,1,0.0,1em8,1,0.8343939666595775,0.19847462944082825,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq1_width12_time0,dev,0.0,teacher_ce,1.0,0.0,61127.0
no_aug,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.16560603334042245,0.0,1,0.0,1em8,1,0.8343939666595775,0.19847462944082825,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-no_aug,dev,0.0,teacher_ce,1.0,0.0,61127.0
freq1_width12_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.16560603334042245,0.0,1,0.0,3em8,1,0.8343939666595775,0.19847462944082825,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq1_width12_time0,dev,0.0,teacher_ce,1.0,0.0,61127.0
no_aug,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.16560603334042245,0.0,1,0.0,3em8,1,0.8343939666595775,0.19847462944082825,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-no_aug,dev,0.0,teacher_ce,1.0,0.0,61127.0
freq1_width12_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,chime6,beam5_lp0p5,1.0,0.18842737251950858,0.0,1,0.0,1em8,1,0.8115726274804914,0.23217561329597455,0.0,['1/1'],chime6-dev-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq1_width12_time0,dev,0.0,teacher_ce,1.0,0.0,61127.0
no_aug,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,chime6,beam5_lp0p5,1.0,0.18842737251950858,0.0,1,0.0,1em8,1,0.8115726274804914,0.23217561329597455,0.0,['1/1'],chime6-dev-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-no_aug,dev,0.0,teacher_ce,1.0,0.0,61127.0
freq1_width12_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,chime6,beam5_lp0p5,1.0,0.18842737251950858,0.0,1,0.0,3em8,1,0.8115726274804914,0.23217561329597455,0.0,['1/1'],chime6-dev-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq1_width12_time0,dev,0.0,teacher_ce,1.0,0.0,61127.0
no_aug,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,chime6,beam5_lp0p5,1.0,0.18842737251950858,0.0,1,0.0,3em8,1,0.8115726274804914,0.23217561329597455,0.0,['1/1'],chime6-dev-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-no_aug,dev,0.0,teacher_ce,1.0,0.0,61127.0
freq1_width12_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,rev16,beam5_lp0p5,0.06961033125162766,0.0075983108056354165,0.0,1,0.03375835533337078,1em8,1,0.17663008788100065,0.04301821335646142,0.0,['1/1'],rev16-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq1_width12_time0,test,0.08085971210163762,teacher_ce,0.18422839868663607,0.0,195833.0
no_aug,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,rev16,beam5_lp0p5,0.16927177748387656,0.0807729034432399,0.0,1,0.0186230104221454,1em8,1,0.17663008788100065,0.4572997976293726,0.0,['1/1'],rev16-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-no_aug,test,0.06950820341821859,teacher_ce,0.25740299132424055,0.0,195833.0
freq1_width12_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,rev16,beam5_lp0p5,0.14489386364912962,0.06520351524002593,0.0,1,0.023530252817451604,3em8,1,0.17663008788100065,0.3691529343740965,0.0,['1/1'],rev16-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq1_width12_time0,test,0.07340948665444537,teacher_ce,0.24183360312102659,0.0,195833.0
no_aug,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,rev16,beam5_lp0p5,0.15787431127542345,0.07139756833628652,0.0,1,0.019771948547997527,3em8,1,0.17663008788100065,0.4042208730847065,0.0,['1/1'],rev16-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-no_aug,test,0.0703813963938662,teacher_ce,0.24802765621728717,0.0,195833.0
freq1_width12_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,rev16,beam5_lp0p5,0.05230476988045937,0.31523287699213104,0.30306945203310987,1,0.18941649262381724,1em8,1,0.17206497372761487,1.832057217473884,1.645074560674095,['1/1'],rev16-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq1_width12_time0,test,0.2455765882154693,teacher_ce,0.4872978507197459,0.0,195833.0
no_aug,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,rev16,beam5_lp0p5,0.3415614324449914,0.23553742219135693,0.15019940459473125,1,0.012459595675907533,1em8,1,0.17206497372761487,1.368886514719848,0.5835184891287098,['1/1'],rev16-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-no_aug,test,0.05358136779807285,teacher_ce,0.4076023959189718,0.0,195833.0
freq1_width12_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,rev16,beam5_lp0p5,0.06470819524799191,0.020568545648588316,-0.0492000837448234,1,0.03621963611852956,3em8,1,0.17206497372761487,0.11953941120607774,-0.20344601870816534,['1/1'],rev16-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq1_width12_time0,test,0.09170568800968172,teacher_ce,0.19263351937620318,0.0,195833.0
no_aug,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,rev16,beam5_lp0p5,0.332737587638447,0.22106590819729055,0.14510322570761824,1,0.010927678174771362,3em8,1,0.17206497372761487,1.284781576448243,0.5850284114304538,['1/1'],rev16-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-no_aug,test,0.049465616111687,teacher_ce,0.3931308819249054,0.0,195833.0
