augmentation,checkpoint,checkpoint_path,dataset,decode,del_rate,delta_vs_normal_decode,delta_vs_old_seed,epoch,ins_rate,lr,n_repeats,normal_decode_wer,relative_delta_vs_normal_decode,relative_delta_vs_old_seed,repeat_ids,setting,split,sub_rate,training_mode,wer,wer_std,words
freq9_width44_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.16560603334042245,0.0,1,0.0,1em8,1,0.8343939666595775,0.19847462944082825,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq9_width44_time0,dev,0.0,teacher_ce,1.0,0.0,61127.0
freq9_width44_time0_basic_repeat_filter,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,1.0,0.16560603334042245,0.0,1,0.0,1em8,1,0.8343939666595775,0.19847462944082825,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq9_width44_time0_basic_repeat_filter,dev,0.0,teacher_ce,1.0,0.0,61127.0
freq9_width44_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,0.9933908092986733,0.15971665548775504,0.0,1,0.0,3em8,1,0.8343939666595775,0.19141635950121566,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq9_width44_time0,dev,0.0007198128486593485,teacher_ce,0.9941106221473326,0.0,61127.0
freq9_width44_time0_basic_repeat_filter,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,chime6,beam5_lp0p5,0.9944378098058141,0.16074729661197185,0.0,1,1.6359382924076105e-05,3em8,1,0.8343939666595775,0.19265155674064788,0.0,['1/1'],chime6-dev-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq9_width44_time0_basic_repeat_filter,dev,0.0006870940828111963,teacher_ce,0.9951412632715494,0.0,61127.0
freq9_width44_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,chime6,beam5_lp0p5,0.9932926530011288,0.18255435404976528,-0.0058730184697433074,1,1.6359382924076105e-05,1em8,1,0.8115726274804914,0.22493902316112,-0.0058730184697433074,['1/1'],chime6-dev-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq9_width44_time0,dev,0.0008179691462038052,teacher_ce,0.9941269815302567,0.0,61127.0
freq9_width44_time0_basic_repeat_filter,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,chime6,beam5_lp0p5,0.9961719043957662,0.18491010519083217,-0.00351726732867641,1,3.271876584815221e-05,1em8,1,0.8115726274804914,0.22784172226813681,-0.00351726732867641,['1/1'],chime6-dev-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq9_width44_time0_basic_repeat_filter,dev,0.0002781095097092938,teacher_ce,0.9964827326713236,0.0,61127.0
freq9_width44_time0,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,chime6,beam5_lp0p5,0.9986258118343776,0.18711862188558248,0.004580627218741307,1,0.0,3em8,1,0.8115726274804914,0.23056300268096516,0.0046077640824789745,['1/1'],chime6-dev-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq9_width44_time0,dev,6.543753169630442e-05,teacher_ce,0.9986912493660739,0.0,61127.0
freq9_width44_time0_basic_repeat_filter,rl_step_30000,/store/store5/data/acp21rjf_checkpoints/lcasr/rob61_rl_floras50_30k_b36_r24_grpo_wer70_cer30_std001_const_lr_1e-5/step_30000.pt,chime6,beam5_lp0p5,0.9964336545225514,0.18544996482732679,0.0018813290362688084,1,0.0,3em8,1,0.8115726274804914,0.2285069241468283,0.0018905145487424536,['1/1'],chime6-dev-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em8-freq9_width44_time0_basic_repeat_filter,dev,0.0005889377852667398,teacher_ce,0.9970225923078182,0.0,61127.0
freq9_width44_time0,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,rev16,beam5_lp0p5,0.14358152098982296,0.06343159733037843,0.0,1,0.022330250774894936,1em8,1,0.17663008788100065,0.3591211332755131,0.0,['1/1'],rev16-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq9_width44_time0,test,0.07414991344666119,teacher_ce,0.24006168521137908,0.0,195833.0
freq9_width44_time0_basic_repeat_filter,old_seed,/store/store5/data/acp21rjf_checkpoints/lcasr/enc_dec_no_anorm_V2_lr_2e3_ctcw_0_05/step_210720.pt,rev16,beam5_lp0p5,0.14502152344089098,0.06029627284471972,0.0,1,0.01925109659761123,1em8,1,0.17663008788100065,0.34137033824804847,0.0,['1/1'],rev16-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em8-freq9_width44_time0_basic_repeat_filter,test,0.0726537406872182,teacher_ce,0.23692636072572038,0.0,195833.0
