augmentation,checkpoint,dataset,decode,del_rate,delta_vs_normal_decode,delta_vs_old_seed,epoch,ins_rate,lr,n_repeats,normal_decode_wer,relative_delta_vs_normal_decode,relative_delta_vs_old_seed,repeat_ids,setting,split,sub_rate,training_mode,wer,wer_std,words
freq3_width24_time0,old_seed,earnings22,beam5_lp0p5,0.052917509139554356,-0.03365806833731594,0.0,1,0.03788575046463656,1em7,1,0.25172068704940465,-0.13371196754563897,0.0,['1/1'],earnings22-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.1272593591078978,teacher_ce,0.2180626187120887,0.0,48963.0
freq6_width34_time0,old_seed,earnings22,beam5_lp0p5,0.04881236852317056,-0.005677756673406448,0.0,1,0.053877417641892855,1em7,1,0.25172068704940465,-0.022555780933062874,0.0,['1/1'],earnings22-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq6_width34_time0,test,0.14335314421093479,teacher_ce,0.2460429303759982,0.0,48963.0
freq3_width24_time0,old_seed,earnings22,beam5_lp0p5,0.04901660437473194,-0.03486305986152807,0.0,1,0.042481057124767685,3em7,1,0.25172068704940465,-0.13849898580121697,0.0,['1/1'],earnings22-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0,test,0.12535996568837693,teacher_ce,0.21685762718787657,0.0,48963.0
freq6_width34_time0,old_seed,earnings22,beam5_lp0p5,0.04934338173723015,-0.015419806792884405,0.0,1,0.04650450340052693,3em7,1,0.25172068704940465,-0.06125760649087214,0.0,['1/1'],earnings22-test-old_seed-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq6_width34_time0,test,0.14045299511876314,teacher_ce,0.23630088025652024,0.0,48963.0
freq3_width24_time0,old_seed,earnings22,beam5_lp0p5,0.04977227702550906,-0.03451585891387374,0.0,1,0.0374772787615138,1em7,1,0.25172068704940465,-0.13711967545638945,0.0,['1/1'],earnings22-test-old_seed-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.12995527234850807,teacher_kl,0.2172048281355309,0.0,48963.0
freq6_width34_time0,old_seed,earnings22,beam5_lp0p5,0.048485591160672345,-0.019075628535833167,0.0,1,0.04231766844351857,1em7,1,0.25172068704940465,-0.07578093306288028,0.0,['1/1'],earnings22-test-old_seed-teacher_kl-beam5_lp0p5-epoch-1-lr-1em7-freq6_width34_time0,test,0.14184179890938056,teacher_kl,0.23264505851357148,0.0,48963.0
freq3_width24_time0,old_seed,earnings22,beam5_lp0p5,0.05132446949737557,-0.029491656965463714,0.0,1,0.038192104241978636,3em7,1,0.25172068704940465,-0.1171602434077079,0.0,['1/1'],earnings22-test-old_seed-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0,test,0.13271245634458673,teacher_kl,0.22222903008394093,0.0,48963.0
freq6_width34_time0,old_seed,earnings22,beam5_lp0p5,0.050139901558319544,-0.01974960684598573,0.0,1,0.04043869860915385,3em7,1,0.25172068704940465,-0.07845841784989852,0.0,['1/1'],earnings22-test-old_seed-teacher_kl-beam5_lp0p5-epoch-1-lr-3em7-freq6_width34_time0,test,0.1413924800359455,teacher_kl,0.23197108020341892,0.0,48963.0
freq3_width24_time0,rl_step_30000,earnings22,beam5_lp0p5,0.04213385617711333,-0.01642056246553522,-0.004411494393725873,1,0.04152114862242918,1em7,1,0.23007168678389806,-0.07137150466045282,-0.020230401798257934,['1/1'],earnings22-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq3_width24_time0,test,0.12999611951882034,teacher_ce,0.21365112431836283,0.0,48963.0
freq6_width34_time0,rl_step_30000,earnings22,beam5_lp0p5,0.04450299205522537,0.0014296509609296737,-0.014541592631170469,1,0.046443232645058515,1em7,1,0.23007168678389806,0.006213936972924954,-0.05910185108325722,['1/1'],earnings22-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-1em7-freq6_width34_time0,test,0.14055511304454385,teacher_ce,0.23150133774482773,0.0,48963.0
freq3_width24_time0,rl_step_30000,earnings22,beam5_lp0p5,0.042419786369299266,-0.01207033882727776,0.0011437207687437223,1,0.044339603373976265,3em7,1,0.23007168678389806,-0.05246338215712392,0.005274062912036059,['1/1'],earnings22-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq3_width24_time0,test,0.13124195821334478,teacher_ce,0.2180013479566203,0.0,48963.0
freq6_width34_time0,rl_step_30000,earnings22,beam5_lp0p5,0.04197046749586422,0.0008169434062455239,-0.0054122500663766615,1,0.048015848702081164,3em7,1,0.23007168678389806,0.003550821127385671,-0.022904062229904966,['1/1'],earnings22-test-rl_step_30000-teacher_ce-beam5_lp0p5-epoch-1-lr-3em7-freq6_width34_time0,test,0.14090231399219819,teacher_ce,0.23088863019014358,0.0,48963.0
