dataset,split,seq_len,overlap,epochs,lr,repeat,wer,ins_rate,del_rate,sub_rate,words,path,error
chime6,test,65536,57344,1,3em4,1,0.7743567148396193,0.007860415932322876,0.6680824814945365,0.09841381741275995,56740,chime6-test-ctc-seq65536-overlap57344-epoch-1-lr-3em4_1.pkl,
chime6,test,65536,57344,1,9em5,1,0.7899013041945717,0.005146281283045471,0.7255904124074727,0.059164610504053576,56740,chime6-test-ctc-seq65536-overlap57344-epoch-1-lr-9em5_1.pkl,
chime6,test,65536,57344,5,3em4,1,0.7716249559393725,0.005463517800493479,0.6846492774057102,0.08151216073316885,56740,chime6-test-ctc-seq65536-overlap57344-epoch-5-lr-3em4_1.pkl,
chime6,test,65536,57344,5,9em5,1,0.7516919280930561,0.007331688403242862,0.6541064504758548,0.09025378921395841,56740,chime6-test-ctc-seq65536-overlap57344-epoch-5-lr-9em5_1.pkl,
earnings22,test,65536,57344,1,3em4,1,0.175132242713886,0.025427363519392194,0.0403570042685293,0.1093478749259645,48963,earnings22-test-ctc-seq65536-overlap57344-epoch-1-lr-3em4_1.pkl,
earnings22,test,65536,57344,1,9em5,1,0.1737434389232686,0.027939464493597205,0.037232195739640137,0.10857177869003125,48963,earnings22-test-ctc-seq65536-overlap57344-epoch-1-lr-9em5_1.pkl,
earnings22,test,65536,57344,5,3em4,1,0.1500725037273043,0.023997712558462513,0.03400526928497028,0.09206952188387149,48963,earnings22-test-ctc-seq65536-overlap57344-epoch-5-lr-3em4_1.pkl,
earnings22,test,65536,57344,5,9em5,1,0.15248248677572862,0.023854747462369544,0.03467924759512285,0.09394849171823622,48963,earnings22-test-ctc-seq65536-overlap57344-epoch-5-lr-9em5_1.pkl,
rev16,test,65536,57344,1,3em4,1,0.14547599229956137,0.024628127026599195,0.051436683296482204,0.06941118197647995,195833,rev16-test-ctc-seq65536-overlap57344-epoch-1-lr-3em4_1.pkl,
rev16,test,65536,57344,1,9em5,1,0.1454504603412091,0.02494982970183779,0.05158476865492537,0.06891586198444594,195833,rev16-test-ctc-seq65536-overlap57344-epoch-1-lr-9em5_1.pkl,
rev16,test,65536,57344,5,3em4,1,0.14105385711294827,0.02530217072709911,0.04857710396102802,0.06717458242482115,195833,rev16-test-ctc-seq65536-overlap57344-epoch-5-lr-3em4_1.pkl,
rev16,test,65536,57344,5,9em5,1,0.14142151731322095,0.02459748867657647,0.050001787237084656,0.06682224139955983,195833,rev16-test-ctc-seq65536-overlap57344-epoch-5-lr-9em5_1.pkl,
tedlium,test,65536,57344,1,3em4,1,0.05950735424419635,0.008187134502923977,0.017047669679248628,0.034272550062023746,28215,tedlium-test-ctc-seq65536-overlap57344-epoch-1-lr-3em4_1.pkl,
tedlium,test,65536,57344,1,9em5,1,0.06007442849548113,0.007903597377281588,0.018359028885344676,0.03381180223285486,28215,tedlium-test-ctc-seq65536-overlap57344-epoch-1-lr-9em5_1.pkl,
tedlium,test,65536,57344,5,3em4,1,0.0581959950381003,0.008754208754208754,0.01644515328725855,0.032996632996632996,28215,tedlium-test-ctc-seq65536-overlap57344-epoch-5-lr-3em4_1.pkl,
tedlium,test,65536,57344,5,9em5,1,0.058089668615984406,0.007726386673755095,0.01722488038277512,0.03313840155945419,28215,tedlium-test-ctc-seq65536-overlap57344-epoch-5-lr-9em5_1.pkl,
