dataset,split,seq_len,overlap,epochs,lr,n,wer_mean,wer_std,ins_rate_mean,del_rate_mean,sub_rate_mean,words,repeats,paths
chime6,test,65536,57344,1,3em4,1,0.7743567148,,0.0078604159,0.6680824815,0.0984138174,56740,1,chime6-test-ctc-seq65536-overlap57344-epoch-1-lr-3em4_1.pkl
chime6,test,65536,57344,1,9em5,1,0.7899013042,,0.0051462813,0.7255904124,0.0591646105,56740,1,chime6-test-ctc-seq65536-overlap57344-epoch-1-lr-9em5_1.pkl
chime6,test,65536,57344,5,3em4,1,0.7716249559,,0.0054635178,0.6846492774,0.0815121607,56740,1,chime6-test-ctc-seq65536-overlap57344-epoch-5-lr-3em4_1.pkl
chime6,test,65536,57344,5,9em5,1,0.7516919281,,0.0073316884,0.6541064505,0.0902537892,56740,1,chime6-test-ctc-seq65536-overlap57344-epoch-5-lr-9em5_1.pkl
earnings22,test,65536,57344,1,3em4,1,0.1751322427,,0.0254273635,0.0403570043,0.1093478749,48963,1,earnings22-test-ctc-seq65536-overlap57344-epoch-1-lr-3em4_1.pkl
earnings22,test,65536,57344,1,9em5,1,0.1737434389,,0.0279394645,0.0372321957,0.1085717787,48963,1,earnings22-test-ctc-seq65536-overlap57344-epoch-1-lr-9em5_1.pkl
earnings22,test,65536,57344,5,3em4,1,0.1500725037,,0.0239977126,0.0340052693,0.0920695219,48963,1,earnings22-test-ctc-seq65536-overlap57344-epoch-5-lr-3em4_1.pkl
earnings22,test,65536,57344,5,9em5,1,0.1524824868,,0.0238547475,0.0346792476,0.0939484917,48963,1,earnings22-test-ctc-seq65536-overlap57344-epoch-5-lr-9em5_1.pkl
rev16,test,65536,57344,1,3em4,1,0.1454759923,,0.0246281270,0.0514366833,0.0694111820,195833,1,rev16-test-ctc-seq65536-overlap57344-epoch-1-lr-3em4_1.pkl
rev16,test,65536,57344,1,9em5,1,0.1454504603,,0.0249498297,0.0515847687,0.0689158620,195833,1,rev16-test-ctc-seq65536-overlap57344-epoch-1-lr-9em5_1.pkl
rev16,test,65536,57344,5,3em4,1,0.1410538571,,0.0253021707,0.0485771040,0.0671745824,195833,1,rev16-test-ctc-seq65536-overlap57344-epoch-5-lr-3em4_1.pkl
rev16,test,65536,57344,5,9em5,1,0.1414215173,,0.0245974887,0.0500017872,0.0668222414,195833,1,rev16-test-ctc-seq65536-overlap57344-epoch-5-lr-9em5_1.pkl
tedlium,test,65536,57344,1,3em4,1,0.0595073542,,0.0081871345,0.0170476697,0.0342725501,28215,1,tedlium-test-ctc-seq65536-overlap57344-epoch-1-lr-3em4_1.pkl
tedlium,test,65536,57344,1,9em5,1,0.0600744285,,0.0079035974,0.0183590289,0.0338118022,28215,1,tedlium-test-ctc-seq65536-overlap57344-epoch-1-lr-9em5_1.pkl
tedlium,test,65536,57344,5,3em4,1,0.0581959950,,0.0087542088,0.0164451533,0.0329966330,28215,1,tedlium-test-ctc-seq65536-overlap57344-epoch-5-lr-3em4_1.pkl
tedlium,test,65536,57344,5,9em5,1,0.0580896686,,0.0077263867,0.0172248804,0.0331384016,28215,1,tedlium-test-ctc-seq65536-overlap57344-epoch-5-lr-9em5_1.pkl
