dataset,split,seq_len,overlap,epochs,lr,repeat,wer,ins_rate,del_rate,sub_rate,words,path,error
chime6,test,65536,57344,10,3em4,1,0.760874162848079,0.008424391963341557,0.6402890377158971,0.11216073316884033,56740,chime6-test-ctc-seq65536-overlap57344-epoch-10-lr-3em4_1.pkl,
chime6,test,65536,57344,10,9em5,1,0.7475149806133239,0.007842791681353543,0.6461755375396545,0.09349665139231583,56740,chime6-test-ctc-seq65536-overlap57344-epoch-10-lr-9em5_1.pkl,
chime6,test,65536,57344,20,3em4,1,0.9998766302432147,0.0,0.9998766302432147,0.0,56740,chime6-test-ctc-seq65536-overlap57344-epoch-20-lr-3em4_1.pkl,
chime6,test,65536,57344,20,9em5,1,0.7593584772647163,0.008724004229820233,0.6448184702150158,0.10581600281988016,56740,chime6-test-ctc-seq65536-overlap57344-epoch-20-lr-9em5_1.pkl,
earnings22,test,65536,57344,10,3em4,1,0.1500725037273043,0.025202704082674672,0.033903151359189594,0.09096664828544003,48963,earnings22-test-ctc-seq65536-overlap57344-epoch-10-lr-3em4_1.pkl,
earnings22,test,65536,57344,10,9em5,1,0.14992953863121133,0.024181524824867757,0.034372893817780775,0.09137511998856279,48963,earnings22-test-ctc-seq65536-overlap57344-epoch-10-lr-9em5_1.pkl,
earnings22,test,65536,57344,20,3em4,1,0.1529113820640075,0.026979555991258706,0.031922063599044176,0.09400976247370463,48963,earnings22-test-ctc-seq65536-overlap57344-epoch-20-lr-3em4_1.pkl,
earnings22,test,65536,57344,20,9em5,1,0.14825480464840798,0.024467455017053694,0.03296366644200723,0.09082368318934705,48963,earnings22-test-ctc-seq65536-overlap57344-epoch-20-lr-9em5_1.pkl,
rev16,test,65536,57344,10,3em4,1,0.14263683853078898,0.026160044527735366,0.048153273452380345,0.06832352055067328,195833,rev16-test-ctc-seq65536-overlap57344-epoch-10-lr-3em4_1.pkl,
rev16,test,65536,57344,10,9em5,1,0.14032364310407336,0.025486000827235452,0.048505614477641665,0.06633202779919625,195833,rev16-test-ctc-seq65536-overlap57344-epoch-10-lr-9em5_1.pkl,
rev16,test,65536,57344,20,3em4,1,0.14383684057334567,0.02665025812809894,0.04839327386089168,0.06879330858435503,195833,rev16-test-ctc-seq65536-overlap57344-epoch-20-lr-3em4_1.pkl,
rev16,test,65536,57344,20,9em5,1,0.14173300720511864,0.026154938136064912,0.04821965654409625,0.06735841252495749,195833,rev16-test-ctc-seq65536-overlap57344-epoch-20-lr-9em5_1.pkl,
tedlium,test,65536,57344,10,3em4,1,0.05847953216374269,0.008541555909976963,0.01591352117667907,0.03402445507708666,28215,tedlium-test-ctc-seq65536-overlap57344-epoch-10-lr-3em4_1.pkl,
tedlium,test,65536,57344,10,9em5,1,0.05752259436469963,0.008151692362218677,0.016551479709374445,0.032819422293106505,28215,tedlium-test-ctc-seq65536-overlap57344-epoch-10-lr-9em5_1.pkl,
tedlium,test,65536,57344,20,3em4,1,0.05741626794258373,0.00886053517632465,0.015275562643983697,0.03328017012227538,28215,tedlium-test-ctc-seq65536-overlap57344-epoch-20-lr-3em4_1.pkl,
tedlium,test,65536,57344,20,9em5,1,0.05727449937976254,0.008506113769271665,0.01594896331738437,0.032819422293106505,28215,tedlium-test-ctc-seq65536-overlap57344-epoch-20-lr-9em5_1.pkl,
