dataset,split,seq_len,overlap,epochs,lr,n,wer_mean,wer_std,ins_rate_mean,del_rate_mean,sub_rate_mean,words,repeats,paths
chime6,test,65536,57344,10,3em4,1,0.7608741628,,0.0084243920,0.6402890377,0.1121607332,56740,1,chime6-test-ctc-seq65536-overlap57344-epoch-10-lr-3em4_1.pkl
chime6,test,65536,57344,10,9em5,1,0.7475149806,,0.0078427917,0.6461755375,0.0934966514,56740,1,chime6-test-ctc-seq65536-overlap57344-epoch-10-lr-9em5_1.pkl
chime6,test,65536,57344,20,3em4,1,0.9998766302,,0.0000000000,0.9998766302,0.0000000000,56740,1,chime6-test-ctc-seq65536-overlap57344-epoch-20-lr-3em4_1.pkl
chime6,test,65536,57344,20,9em5,1,0.7593584773,,0.0087240042,0.6448184702,0.1058160028,56740,1,chime6-test-ctc-seq65536-overlap57344-epoch-20-lr-9em5_1.pkl
earnings22,test,65536,57344,10,3em4,1,0.1500725037,,0.0252027041,0.0339031514,0.0909666483,48963,1,earnings22-test-ctc-seq65536-overlap57344-epoch-10-lr-3em4_1.pkl
earnings22,test,65536,57344,10,9em5,1,0.1499295386,,0.0241815248,0.0343728938,0.0913751200,48963,1,earnings22-test-ctc-seq65536-overlap57344-epoch-10-lr-9em5_1.pkl
earnings22,test,65536,57344,20,3em4,1,0.1529113821,,0.0269795560,0.0319220636,0.0940097625,48963,1,earnings22-test-ctc-seq65536-overlap57344-epoch-20-lr-3em4_1.pkl
earnings22,test,65536,57344,20,9em5,1,0.1482548046,,0.0244674550,0.0329636664,0.0908236832,48963,1,earnings22-test-ctc-seq65536-overlap57344-epoch-20-lr-9em5_1.pkl
rev16,test,65536,57344,10,3em4,1,0.1426368385,,0.0261600445,0.0481532735,0.0683235206,195833,1,rev16-test-ctc-seq65536-overlap57344-epoch-10-lr-3em4_1.pkl
rev16,test,65536,57344,10,9em5,1,0.1403236431,,0.0254860008,0.0485056145,0.0663320278,195833,1,rev16-test-ctc-seq65536-overlap57344-epoch-10-lr-9em5_1.pkl
rev16,test,65536,57344,20,3em4,1,0.1438368406,,0.0266502581,0.0483932739,0.0687933086,195833,1,rev16-test-ctc-seq65536-overlap57344-epoch-20-lr-3em4_1.pkl
rev16,test,65536,57344,20,9em5,1,0.1417330072,,0.0261549381,0.0482196565,0.0673584125,195833,1,rev16-test-ctc-seq65536-overlap57344-epoch-20-lr-9em5_1.pkl
tedlium,test,65536,57344,10,3em4,1,0.0584795322,,0.0085415559,0.0159135212,0.0340244551,28215,1,tedlium-test-ctc-seq65536-overlap57344-epoch-10-lr-3em4_1.pkl
tedlium,test,65536,57344,10,9em5,1,0.0575225944,,0.0081516924,0.0165514797,0.0328194223,28215,1,tedlium-test-ctc-seq65536-overlap57344-epoch-10-lr-9em5_1.pkl
tedlium,test,65536,57344,20,3em4,1,0.0574162679,,0.0088605352,0.0152755626,0.0332801701,28215,1,tedlium-test-ctc-seq65536-overlap57344-epoch-20-lr-3em4_1.pkl
tedlium,test,65536,57344,20,9em5,1,0.0572744994,,0.0085061138,0.0159489633,0.0328194223,28215,1,tedlium-test-ctc-seq65536-overlap57344-epoch-20-lr-9em5_1.pkl
